release_date,required_age,price,windows,mac,linux,achievements,recommendations,developers,publishers,categories,genres,average_playtime_forever,average_playtime_2weeks,median_playtime_forever,median_playtime_2weeks,absolute_score,success_class
2016-06-14,17,19.99,True,False,False,270,568830,['Behaviour Interactive Inc.'],['Behaviour Interactive Inc.'],"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,13471,1281,1284,147,454225,alto_successo
2017-07-07,0,0.0,True,True,True,77,7597,['Smartly Dressed Games'],['Smartly Dressed Games'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor', 'Remote Play on Tablet']",Action Adventure Casual Indie FreeToPlay,0,0,0,0,456589,alto_successo
2017-08-27,0,14.99,True,True,False,32,541698,"['Studio Wildcard', 'Instinct Games', 'Efecto Studios', 'Virtual Basement LLC']","['Studio Wildcard', 'Snail Games USA']","['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor', 'Remote Play on Tablet', 'Family Sharing']",Action Adventure Indie MassivelyMultiplayer RPG,13066,678,821,388,486545,alto_successo
2018-04-30,0,19.99,True,False,False,45,523430,['Endnight Games Ltd'],['Endnight Games Ltd'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Tracked Controller Support', 'VR Supported', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']",Action Adventure Indie Simulation,2431,336,760,332,560726,alto_successo
2020-08-03,0,0.0,True,False,False,34,417308,['Mediatonic'],[],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet']",Action Casual Indie MassivelyMultiplayer Sports,0,0,0,0,297143,alto_successo
2015-07-06,0,0.0,True,False,False,88,433535,['Psyonix LLC'],['Psyonix LLC'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",Action Indie Racing Sports,0,0,0,0,436178,alto_successo
2021-02-02,0,19.99,True,True,True,0,417559,['Iron Gate AB'],['Coffee Stain Publishing'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Full controller support', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing']",Action Adventure Indie RPG EarlyAccess,0,0,0,0,435488,alto_successo
2023-10-23,0,9.99,True,False,False,0,386936,['Zeekerss'],['Zeekerss'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Partial Controller Support', 'Family Sharing']",Action Adventure Indie EarlyAccess,0,0,0,0,453131,alto_successo
2017-10-17,0,0.0,True,True,False,65,2897,['Blue Mammoth Games'],['Ubisoft'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']",Action Indie FreeToPlay,3777,258,179,190,242431,alto_successo
2022-10-27,17,0.0,True,False,False,107,379597,"['Treyarch', 'Raven Software', 'Beenox', 'High Moon Studios', 'Activision Shanghai', 'Sledgehammer Games', 'Infinity Ward', 'Demonware', 'Toys for Bob']",['Activision'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Captions available', 'In-App Purchases']",Action,5271,90,589,84,119455,alto_successo
2017-02-24,0,14.99,True,True,True,63,356592,['Team Cherry'],['Team Cherry'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action Adventure Indie,2190,519,1036,383,376574,alto_successo
2018-12-13,17,49.99,True,False,False,13,349722,['Bohemia Interactive'],['Bohemia Interactive'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled']",Action Adventure MassivelyMultiplayer,11635,3580,1778,1207,223405,alto_successo
2018-05-08,0,0.0,True,False,False,58,8854,['Evil Mojo Games'],['Hi-Rez Studios'],"['Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']",Action Adventure MassivelyMultiplayer Strategy FreeToPlay,3804,397,518,467,242382,alto_successo
2016-04-21,0,14.99,True,True,True,0,335058,['Klei Entertainment'],['Klei Entertainment'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action Adventure Indie RPG Simulation Strategy,3251,208,511,31,445433,alto_successo
2025-01-27,17,19.99,True,True,True,78,336797,['Techland'],['Techland'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action RPG,0,0,0,0,407159,alto_successo
2024-01-18,0,22.49,True,False,False,33,314601,['Pocketpair'],['Pocketpair'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']",Action Adventure Indie RPG EarlyAccess,0,0,0,0,328441,alto_successo
2018-12-17,0,13.99,True,True,False,150,306194,['Ninja Kiwi'],['Ninja Kiwi'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",Strategy,4219,165,1357,135,327895,alto_successo
2020-06-03,0,39.99,True,False,False,273,302793,['Rare Ltd'],['Xbox Game Studios'],"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",Action Adventure,0,0,0,0,276106,alto_successo
