release_date,required_age,price,windows,mac,linux,achievements,recommendations,developers,publishers,categories,genres,average_playtime_forever,average_playtime_2weeks,median_playtime_forever,median_playtime_2weeks,absolute_score,success_class
2022-01-12,0,39.99,True,False,False,100,69192,"['CAPCOM Co., Ltd.']","['CAPCOM Co., Ltd.']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'HDR available', 'Family Sharing']",Action,8524,99,3917,31,69865,alto_successo
2024-03-21,17,69.99,True,False,False,54,69154,"['CAPCOM Co., Ltd.']","['CAPCOM Co., Ltd.']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'HDR available', 'Family Sharing']",Action RPG,0,0,0,0,22525,alto_successo
2020-09-24,17,39.99,True,False,False,43,68680,['Hangar 13'],['2K'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing']",Action Adventure,633,969,611,1243,64057,alto_successo
2017-05-18,0,17.99,True,True,True,0,68893,['SteelRaven7'],['SteelRaven7'],"['Single-player', 'Steam Workshop', 'Partial Controller Support', 'Includes level editor', 'Family Sharing']",Action Indie EarlyAccess,2326,8,795,8,67688,alto_successo
2017-12-06,0,7.99,True,True,True,3,68806,['Bennett Foddy'],['Bennett Foddy'],"['Single-player', 'Partial Controller Support', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",Action,407,0,131,0,49134,alto_successo
2019-05-21,0,29.99,True,False,False,26,67870,['Beat Games'],['Beat Games'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Tracked Controller Support', 'VR Only', 'Steam Leaderboards', 'Family Sharing']",Indie,0,0,0,0,67725,alto_successo
2020-06-18,0,24.99,True,False,False,31,67662,['Mobius Digital'],['Annapurna Interactive'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action Adventure,0,0,0,0,73466,alto_successo
2019-01-24,0,5.99,True,True,True,47,66977,['7th Beat Games'],"['7th Beat Games', 'indienova']","['Single-player', 'Steam Achievements', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",Indie,819,59,311,59,62913,alto_successo
2020-07-21,0,0.0,True,False,False,191,403,['Broadsword'],['Electronic Arts'],"['Multi-player', 'MMO', 'PvP', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']",MassivelyMultiplayer RPG FreeToPlay,2158,884,256,1750,52155,alto_successo
2015-09-01,18,19.99,True,False,False,42,65711,['KONAMI'],['KONAMI'],"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action Adventure,3159,220,1012,438,81843,alto_successo
2017-06-01,0,39.99,True,False,False,42,65377,['BANDAI NAMCO Studios Inc.'],['BANDAI NAMCO Entertainment'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",Action Sports,0,0,0,0,60846,alto_successo
2024-01-24,0,29.99,True,False,False,45,65053,['Keen Games GmbH'],['Keen Games GmbH'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']",Action Adventure RPG EarlyAccess,2013,21,1382,21,53133,alto_successo
2023-10-25,0,44.99,True,False,False,32,64893,"['Studio Wildcard', 'Grove Street Games', 'Instinct Games']","['Studio Wildcard', 'Snail Games USA']","['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Includes level editor', 'Remote Play Together', 'Family Sharing']",Action Adventure Indie MassivelyMultiplayer RPG EarlyAccess,7105,502,1719,502,12877,alto_successo
2020-04-14,17,39.99,True,False,False,72,64931,['Bethesda Game Studios'],['Bethesda Softworks'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Tablet']",RPG,2918,369,1108,553,55288,alto_successo
2019-05-24,0,0.0,True,True,False,38,1533,['BetaDwarf'],['BetaDwarf'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Remote Play on Tablet']",Action Adventure Indie RPG Strategy FreeToPlay,0,0,0,0,51281,alto_successo
2020-06-13,17,19.99,True,False,False,50,64215,['ATLUS'],['SEGA'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']",RPG,0,0,0,0,71805,alto_successo
2017-01-23,17,19.99,True,False,False,58,63850,"['CAPCOM Co., Ltd.']","['CAPCOM Co., Ltd.']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'HDR available', 'Family Sharing']",Action Adventure,0,0,0,0,85657,alto_successo
2023-07-19,0,0.0,True,False,False,0,0,['Nimble Neuron'],"['Nimble Neuron', 'SapStaR Games']","['Multi-player', 'PvP', 'Online PvP', 'Steam Trading Cards', 'In-App Purchases']",Indie Strategy FreeToPlay,0,0,0,0,37870,alto_successo
2017-08-28,0,0.0,True,True,True,17,522,['Fishing Planet LLC'],['Fishing Planet LLC'],"['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Full controller support', 'Remote Play on TV']",MassivelyMultiplayer Simulation Sports FreeToPlay,2153,344,60,507,46761,alto_successo
2022-09-27,0,39.99,True,False,False,45,63441,['Obsidian Entertainment'],['Xbox Game Studios'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing']",Action Adventure,1897,99,705,99,64235,alto_successo
2017-08-07,17,29.99,True,False,False,14,63356,['Ninja Theory'],['Ninja Theory'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']",Action Adventure Indie,268,0,204,0,58318,alto_successo
2021-01-28,0,9.99,True,True,False,119,63265,['Straight Back Games'],['Straight Back Games'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']",Indie,582,0,233,0,66945,alto_successo
2017-07-26,0,0.0,True,False,False,193,878,['Targem Games'],['Gaijin Network Ltd'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Remote Play on Tablet', 'Remote Play on TV']",Action Adventure MassivelyMultiplayer Racing FreeToPlay,5761,386,256,755,31867,alto_successo
2018-11-19,0,17.99,True,True,False,23,62732,['Giants Software'],['Giants Software'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Simulation,10373,0,3014,0,65855,alto_successo
2020-08-17,0,59.99,True,False,False,43,61636,['Asobo Studio'],['Xbox Game Studios'],"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'VR Supported', 'In-App Purchases', 'HDR available', 'Family Sharing']",Simulation,5688,1097,4607,1097,37256,alto_successo
2018-09-14,17,0.0,True,True,True,99,62516,"['Eidos-Montréal', 'Crystal Dynamics', 'Nixxes', 'Feral Interactive (Mac)', 'Feral interactive (Linux)']","['Crystal Dynamics', 'Feral Interactive (Mac)', 'Feral interactive (Linux)']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action Adventure,904,236,636,236,52980,alto_successo
2021-11-21,0,29.99,True,True,False,45,61511,['Giants Software'],['Giants Software'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']",Simulation,0,0,0,0,70015,alto_successo
2020-02-13,0,29.99,True,False,False,64,61527,['WOLCEN Studio'],['WOLCEN Studio'],"['Single-player', 'Partial Controller Support', 'Family Sharing']",Action Adventure Indie RPG,1415,0,921,0,7987,alto_successo
2024-02-20,0,12.99,True,False,False,3,61420,['Nokta Games'],['Nokta Games'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']",Casual Indie Simulation EarlyAccess,0,0,0,0,56627,alto_successo
2019-04-18,0,14.99,True,True,False,22,61091,['Askiisoft'],['Devolver Digital'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action Indie,0,0,0,0,66896,alto_successo
2015-05-13,0,0.0,True,True,False,111,767,['Playsaurus'],['Playsaurus'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Stats']",Adventure Casual Indie RPG Simulation Strategy FreeToPlay,0,0,0,0,48513,alto_successo
2016-07-07,0,19.99,True,True,False,14,60142,['Playdead'],['Playdead'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']",Action Adventure Indie,265,0,246,0,61840,alto_successo
2020-04-02,0,39.99,True,False,False,32,59989,"['CAPCOM Co., Ltd.']","['CAPCOM Co., Ltd.']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet', 'HDR available', 'Family Sharing']",Action,598,0,468,0,56231,alto_successo
2021-12-16,0,39.99,True,False,False,29,59964,['Steel Wool Studios'],['ScottGames'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing']",Action Adventure Indie,0,0,0,0,46868,alto_successo
2023-01-26,0,19.99,True,False,False,74,59382,['Tour De Pizza'],['Tour De Pizza'],"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']",Action Indie,1140,31,1363,31,63104,alto_successo
2017-11-08,0,0.0,True,False,False,0,21530,['Stunlock Studios'],['Stunlock Studios'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'In-App Purchases', 'Steam Cloud']",Action FreeToPlay,713,0,164,0,41030,alto_successo
2023-08-24,13,59.99,True,False,False,30,59167,"['FromSoftware, Inc.']","['FromSoftware, Inc.', 'Bandai Namco Entertainment Inc.']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']",Action,0,0,0,0,61858,alto_successo
2019-09-05,0,24.99,True,False,False,68,59037,['Creepy Jar'],['Creepy Jar'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing']",Action Adventure Indie Simulation,1613,331,625,331,56654,alto_successo
2019-05-23,0,59.99,True,True,True,99,68453,"['CREATIVE ASSEMBLY', 'Feral Interactive (Mac)', 'Feral Interactive (Linux)']","['SEGA', 'Feral Interactive (Mac)', 'Feral Interactive (Linux)']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']",Action Strategy,0,0,0,0,45541,alto_successo
2015-03-30,0,0.0,True,True,True,31,506,['Hyper Hippo Games'],['Hyper Hippo Games'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Casual Indie FreeToPlay,1221,199,254,199,44463,alto_successo
2017-05-24,0,0.99,True,False,False,0,58243,['Pearl Abyss'],['Pearl Abyss'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support']",Action Adventure MassivelyMultiplayer RPG Simulation Strategy,0,0,0,0,41571,alto_successo
2024-04-26,0,39.99,True,False,False,11,57974,['Slavic Magic'],['Hooded Horse'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']",Simulation Strategy EarlyAccess,1333,258,909,119,50694,alto_successo
2021-10-28,0,39.99,True,False,False,130,58019,"['Relic Entertainment', 'Forgotten Empires', 'Climax Studios', ""World's Edge""]",['Xbox Game Studios'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Family Sharing']",Strategy,4665,553,1043,914,55514,alto_successo
2024-05-06,0,29.99,True,True,False,0,57717,['Supergiant Games'],['Supergiant Games'],"['Single-player', 'Full controller support', 'Captions available', 'Steam Cloud', 'Family Sharing']",Action Indie RPG EarlyAccess,0,0,0,0,55144,alto_successo
2016-04-27,0,3.99,True,False,False,57,57710,['Moon Studios GmbH'],['Xbox Game Studios'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action,0,0,0,0,59557,alto_successo
2015-10-06,0,29.99,True,True,True,18,58065,"['Introversion Software', 'Double Eleven']",['Paradox Interactive'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Family Sharing']",Indie Simulation Strategy,1864,5,567,5,56218,alto_successo
2018-06-27,0,0.0,True,False,False,0,0,['Scott Cawthon'],['Scott Cawthon'],"['Single-player', 'Remote Play on Phone', 'Remote Play on Tablet']",Action FreeToPlay Indie,204,0,86,0,52013,alto_successo
2018-08-01,17,19.99,True,False,False,55,57449,['Ryu Ga Gotoku Studio'],['SEGA'],"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action Adventure RPG,1517,66,663,66,65727,alto_successo
2015-06-02,0,0.0,True,False,False,77,1277,['Splash Damage'],['Warchest Ltd.'],"['Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']",Action FreeToPlay,683,41,67,41,35858,alto_successo
2016-11-17,0,44.99,True,True,False,32,57243,"['Frontier Developments', 'Aspyr (Mac)']","['Frontier Developments', 'Aspyr (Mac)']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Family Sharing']",Action Adventure Casual Simulation Strategy,6043,6,434,6,57371,alto_successo
2020-06-11,17,39.99,True,False,False,67,56660,['DICE'],['Electronic Arts'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'HDR available']",Action,1774,8441,364,8711,48399,alto_successo
2020-12-01,17,19.99,True,False,False,0,56631,['Rockstar Games'],['Rockstar Games'],"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",Action Adventure,4788,0,1003,0,43768,alto_successo
2020-10-08,0,0.0,True,False,False,36,40045,['EA Canada'],['Electronic Arts'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Full controller support', 'In-App Purchases']",Simulation Sports,11633,0,9483,0,29588,alto_successo
2020-06-18,0,29.99,True,False,False,14,56257,['Hazelight Studios'],['Electronic Arts'],"['Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']",Action Adventure Indie,371,0,344,0,58785,alto_successo
2015-03-10,17,2.24,True,True,True,29,55346,['Dennaton Games'],['Devolver Digital'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor', 'Remote Play on TV', 'Family Sharing']",Action Indie,0,0,0,0,56585,alto_successo
2020-06-11,0,39.99,True,False,False,43,54997,['DICE'],['Electronic Arts'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards']",Action Adventure,1490,9,489,9,47911,alto_successo
2022-12-10,0,0.0,True,False,False,0,29009,['Wishlist Games'],"['Wishlist Games', 'The 4 Winds Entertainment']","['Multi-player', 'PvP', 'Online PvP', 'Partial Controller Support']",Action FreeToPlay,1044,0,272,0,4541,alto_successo
2024-04-01,0,7.99,True,False,False,0,53945,"['Wilnyl', 'Philip', 'thePetHen', 'Skog', 'Zorro']",['Landfall'],"['Multi-player', 'Co-op', 'Online Co-op', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']",Action Adventure Indie,0,0,0,0,125159,alto_successo
2019-05-14,17,7.99,True,False,False,35,53903,['Asobo Studio'],['Focus Entertainment'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action Adventure,0,0,0,0,53944,alto_successo
2024-06-17,0,29.99,True,False,False,0,53759,['WarpFrog'],['WarpFrog'],"['Single-player', 'Tracked Controller Support', 'VR Only', 'Family Sharing']",Action Adventure Indie RPG Simulation,1710,285,447,285,52876,alto_successo
2024-03-05,0,39.99,True,False,False,27,52519,['Red Barrels'],['Red Barrels'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Full controller support', 'Family Sharing']",Action Adventure Indie,1070,369,553,353,54897,alto_successo
2024-09-26,0,20.99,True,False,False,39,51916,"['EA Canada', 'EA Romania']",['Electronic Arts'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Remote Play Together', 'HDR available']",Simulation Sports,0,0,0,0,-2242,alto_successo
2018-01-26,0,59.99,True,False,False,35,51758,['Arc System Works'],['Bandai Namco Entertainment'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",Action,1570,144,455,144,58559,alto_successo
2024-10-11,0,4.99,True,False,False,16,51622,['lamedeveloper'],['lamedeveloper'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Family Sharing']",Casual Indie MassivelyMultiplayer,917,0,831,0,60945,alto_successo
2020-03-13,0,29.99,True,False,False,153,51361,['Undead Labs'],['Xbox Game Studios'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Family Sharing']",Action RPG Simulation,2246,1328,913,1908,40109,alto_successo
2018-08-07,0,9.69,True,True,True,54,51286,"['Ghost Town Games Ltd.', 'Team17']",['Team17'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",Action Casual Indie,657,56,270,56,57274,alto_successo
2015-09-01,17,19.99,True,False,False,49,51217,['Avalanche Studios'],"['Warner Bros. Games', 'Warner Bros. Interactive Entertainment']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action Adventure,1609,67,1125,67,68509,alto_successo
2024-04-30,0,34.99,True,False,False,0,50920,"['MADFINGER Games, a.s.']","['MADFINGER Games, a.s.']","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op']",Action Adventure MassivelyMultiplayer EarlyAccess,2560,432,738,432,18377,alto_successo
2021-10-12,17,59.99,True,False,False,93,50898,['Turtle Rock Studios'],['Warner Bros. Games'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Full controller support', 'HDR available', 'Family Sharing']",Action,1730,42,476,42,24571,alto_successo
2017-02-13,0,59.99,True,False,False,85,50468,['Rebellion'],['Rebellion'],"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV', 'Family Sharing']",Action Adventure,1281,0,546,0,48137,alto_successo
2018-03-07,0,29.99,True,True,True,282,50245,['Shiro Games'],['Shiro Games'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Family Sharing']",Adventure Indie Simulation Strategy,2084,91,715,116,46546,alto_successo
2023-03-13,0,17.49,True,True,True,76,50099,"['FakeFish', 'Undertow Games']",['Daedalic Entertainment'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Family Sharing']",Action Indie Simulation Strategy,0,0,0,0,62629,alto_successo
2021-05-14,17,59.99,True,False,False,127,49966,['BioWare'],['Electronic Arts'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Remote Play on TV']",Action RPG,3728,4302,1451,4302,44418,alto_successo
2018-09-20,0,19.99,True,False,False,0,48693,['ConchShip Games'],['ConchShip Games'],"['Single-player', 'Remote Play on Tablet', 'Family Sharing']",Adventure Casual Indie RPG Strategy EarlyAccess,4085,0,1200,0,23784,alto_successo
2023-10-24,0,49.99,True,False,False,38,48597,['Colossal Order Ltd.'],['Paradox Interactive'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']",Simulation,0,0,0,0,3646,alto_successo
2016-02-18,0,4.49,True,True,True,234,48509,['Ndemic Creations'],['Ndemic Creations'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor', 'Remote Play on Tablet', 'Family Sharing']",Casual Indie Simulation Strategy,487,46,308,52,48473,alto_successo
2017-12-12,0,7.99,True,True,True,19,48168,"['Boneloaf', 'Rocket Science']",['Boneloaf'],"['Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",Action Adventure Casual Indie Simulation,543,143,248,143,41507,alto_successo
2015-03-10,0,0.0,True,False,False,50,48032,['Moon Studios GmbH'],['Xbox Game Studios'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Remote Play on TV', 'Family Sharing']",Action,596,0,462,0,50463,alto_successo
2021-01-20,0,9.99,True,True,True,101,47655,['SOUTHPAW GAMES'],['NEOWIZ'],"['Single-player', 'Full controller support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action Indie,1769,50,650,66,46765,alto_successo
2024-04-10,0,16.79,True,False,False,55,47421,['Miju Games'],['Miju Games'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Family Sharing']",Adventure,2207,0,1856,0,46549,alto_successo
2015-10-15,0,14.99,True,True,True,17,47504,['Free Lives'],['Devolver Digital'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Full controller support', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']",Action Adventure Casual Indie,0,0,0,0,54928,alto_successo
2017-04-27,0,19.99,True,False,False,22,47049,['Tarsier Studios'],['BANDAI NAMCO Entertainment'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']",Adventure,239,0,108,0,96954,alto_successo
2020-10-15,0,0.0,True,False,False,88,34346,"[""World's Edge"", 'Tantalus Media', 'Forgotten Empires']",['Xbox Game Studios'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",FreeToPlay Strategy,0,0,0,0,32383,alto_successo
2020-09-17,0,24.99,True,True,False,0,46964,['Geometa'],['Geometa'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Workshop', 'Partial Controller Support', 'Family Sharing']",Simulation,9114,0,6520,0,41325,alto_successo
2018-06-11,0,44.99,True,False,False,73,46960,['Frontier Developments'],['Frontier Developments'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']",Simulation Strategy,1418,551,721,551,39869,alto_successo
2017-07-28,0,19.99,True,True,False,60,46320,['Red Dot Games'],['PlayWay S.A.'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Includes level editor', 'Family Sharing']",Racing Simulation,1389,0,542,0,42136,alto_successo
2016-12-08,0,9.99,True,True,True,11,45979,['Future Cat LLC'],['KOMODO'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']",Adventure Casual Indie,324,85,344,85,48884,alto_successo
